
{2014-01-02}
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3F-NM   R$', complany=LEVE3F-NM   R$, date=2014-01-07, openPrice=27.0, closePrice=26.3, percentage=0.0, minPrice=26.0, maxPrice=27.0, avgPrice=26.46, total=5.53} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3-NM   R$', complany=CIEL3-NM   R$, date=2014-01-07, openPrice=67.0, closePrice=67.8, percentage=0.0, minPrice=66.7, maxPrice=68.31, avgPrice=67.9, total=33594.0} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3-NM   R$', complany=LEVE3-NM   R$, date=2014-01-07, openPrice=26.63, closePrice=26.35, percentage=0.0, minPrice=25.99, maxPrice=26.96, avgPrice=26.48, total=1476.0} 
     DadosDoDia{name='NATURA'codNegociation='NATU3-NM   R$', complany=NATU3-NM   R$, date=2014-01-07, openPrice=40.15, closePrice=39.3, percentage=0.0, minPrice=39.18, maxPrice=40.27, avgPrice=39.64, total=9969.0} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3-NM   R$', complany=UGPA3-NM   R$, date=2014-01-07, openPrice=53.65, closePrice=53.53, percentage=0.0, minPrice=53.28, maxPrice=54.08, avgPrice=53.71, total=13302.0} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3F-NM   R$', complany=CIEL3F-NM   R$, date=2014-01-07, openPrice=67.17, closePrice=68.1, percentage=0.0, minPrice=66.6, maxPrice=68.27, avgPrice=67.76, total=46.38} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3-NM   R$', complany=LREN3-NM   R$, date=2014-01-07, openPrice=59.5, closePrice=60.16, percentage=0.0, minPrice=59.08, maxPrice=61.13, avgPrice=60.43, total=10622.0} 
{2014-01-08}
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3F-R$', complany=VIVT3F-R$, date=2014-01-08, openPrice=40.5, closePrice=40.6, percentage=0.0, minPrice=40.5, maxPrice=41.0, avgPrice=40.81, total=3.58} 
     DadosDoDia{name='NATURA'codNegociation='NATU3F-NM   R$', complany=NATU3F-NM   R$, date=2014-01-08, openPrice=39.32, closePrice=39.17, percentage=0.0, minPrice=38.67, maxPrice=39.32, avgPrice=38.91, total=15.98} 
